"Write 200 words","Write a story that happened to you from your childhood. BONUS: Post it to Lang-8 or your blog for feedback and/or corrections."
"Write 200 words","Write an essay about why you are studying this particular language."
"Write 200 words","Write an essay with the title ""The Best Day of My Life."" BONUS: Post it to Lang-8 or your blog for feedback and/or corrections."
"Write 200 words","Write an essay with the title ""The Worst Day of My Life."" BONUS: Post it to Lang-8 or your blog for feedback and/or corrections."
"Read up on difficult grammar","Take some time to read up on a grammar point that you know you find difficult but always put off really taking the time to understand. Try to get to the point where you understand what's going on / how it works. BONUS: Once you understand, try teaching it to someone else. This will cement your understanding."
"Summarise a short film or documentary","Recall the contents of a short film or documentary you watched recently. Ideally you'll have watched it in your target language. Write a summary of that film or documentary, starting with the big ideas and slowly adding in the more intricate points. End by analysing the content, and/or expressing your opinion."
"Write a book review","Write a short review in your target language. First summarise the content of the book, then state what you thought about it. Finally, explain how it fits in the context of other things you've read or heard."
"Write some fiction","Start writing a short story in your target language. Don't worry about the quality for now. Just focus on telling a story as best you can, using the full extent of your language."
"Desert Island Scenario","You're stuck on a desert island. Write or speak out loud (ideally to someone else) a description of how you'd deal with this situation. Describe how you'd feel."
"Broken Down Car Scenario","You are driving in a remote area during heavy winter and your car breaks down. You don't know which way to go to find help, but if you stay out in the cold you probably won't survive. Write or speak out loud (ideally to someone else) a description of how you'd deal with this situation. Describe how you'd feel."
"Give Back","Write a short post online (on Facebook, Tumblr or your blog) explaining something that you struggled to learn recently. Share the lessons of how you managed to deal with this and surmount your difficulties."
"Open Source Software Translation","Do a search online for ""[your language] volunteer translation opportunities"" and you will probably find some people looking for volunteer help translating materials. Some open-source software projects will have specific tools to help you contribute."
"Write some comprehension questions","Use an article you recently read as the basis for this exercise. Write 10-15 comprehension questions based on the content of the article in your target language. BONUS: Post them on your blog or on Facebook along with the original article for others to use."
"Write a guide to a grammar feature","Write a short guide to a particular feature of grammar in your target language. Feel free to write it in your mother-tongue. BONUS: Post this grammar guide on your blog or even on Facebook or Tumblr."
"Write a letter to your past self","Imagine you could write a short note to your past self, to the person you were a few years ago (or more). What would you say? Write a note to this past self."
"Write a letter to your future self","Imagine you could write a short note to your future self, to the person you you will become in a few years (or more). What would you say? Write a note to this future self."
"Do a Foreigncy exercise (if available)","Foreigncy is a website with exercises and selections of media articles (and associated short video clips) on topics currently in the news. Check if their selections are available for your language. If so, take 30 minutes to do all the exercises for one of their free sets."
"Learn a song by heart","Pick a song in your target language. Look up the lyrics. Learn the song by heart."
"Make a new city plan","Your city or the place where you live probably has some problems it needs fixing. Take this time to outline and then write a city plan (in your target language) that could be taken and used to fix the problems. Begin each paragraph by stating the specific problem you want to solve, and then end with the solution. BONUS: Post this on lang-8 (http://www.lang-8.com/) and get corrections!."
"Practice with word substitutions","Use Clozemaster (https://www.clozemaster.com/) to practice your target language. You'll get a sentence and a translation and you'll have to choose what words fills in the blanks. Enjoy this game; it's compulsively addictive."
"Translate some sentences","Contribute to the Tatoeba Project by translating some sentences from your target language into your mother tongue. Visit https://tatoeba.org/eng/activities/translate_sentences to get started. Keep going until the time is up."
"Watch some cartoons!","Find some cartoons that use your target language. YouTube will have lots. This task is all about the fun. You've been working hard, so this is where you just get to enjoy watching cartoons for the entirety of the time period you chose. Well done!"
"Listen to the radio","Visit TuneIn online radio (http://tunein.com/) and search for a radio station in the country where your target language is spoken. Pick a random or a favourite station and listen to it for half the time allocated. Take notes while you're listening. Once you reach half-way, turn the radio off and try to write a summary. Alternatively, try saying it out loud (either just to yourself or to someone else)."
"When I was young...","This is an exercise to keep writing. Complete the sentence ""when I was young..."" however you feel appropriate. Whenever you get stuck, go back to the original prompt and try to think of something new/different that happened when you were young. BONUS: Read the text of what you wrote out loud after you've finished writing."
"Problems, problems, problems","Write for thirty minutes about the most pressing problem you think currently faces mankind. Explain why you chose that topic and give reasons. BONUS: Post this to lang-8.com for corrections."
"Translate your blog / website","If you have a website of your own, take this thirty minutes to translate the main design and headings into your target language. Consider offering a parallel site that caters to users who speak that language. BONUS: Actually implement this!"
"Translate your CV","Start work translating your CV into your target language. Look up (via an internet search) some examples of CVs originating in your target language so you have an idea about the style people use, and then get translating!"
"Travel Wishlist","Write for thirty minutes about the country that you most want to travel to. Explain why you want to travel there. Write about what kinds of things and places you want to see there."
"Thirty years of history","Research, make and annotate a timeline covering the past thirty years of history. Note down the most important events during this period. Wikipedia is a good place to start with this. Write all your notes in your target language. BONUS: Talk through what you discovered with someone else who speaks your target language."
"Oral presentation","Think about a topic that excites you. Take the time to outline and plan out a full presentation about that topic. Look up whatever words you need to know, figure out how you will explain the topic in the most coherent fashion. If you have time, perhaps give a trial run of the presentation. BONUS: Deliver the presentation, either to friends or in a more public/formal way at a meetup or language exchange group."
"Standup comedy","Search for a comedian working in your language on YouTube or any other video sharing site. Watch a video (or several) for the complete time allotted. BONUS: Once the time is finished, try to retell any one of the jokes in your own words."
Future-gazing,"Make a prediction for how you see the future unfolding. What do you think the world and the society in which you live will look like in twenty years from now? Do you think much will have changed? Describe this imagined future in as much detail as you can in the time allotted."
"Last Supper","Write for thirty minutes about what you would like eat if you knew you were going to die the next day. What food would you choose for this final meal? Why would you choose these foods? What do you think you'd be thinking as you ate this last meal? What memories would the food stir up?"
"Religion and society","Write about how you see the role that religion plays in your society. Do you think it plays a positive role? How does your country compare to other countries (near and far) in this way? Do you think it needs changing? If so, why? If not, why not?"
Trivia,"Use a website or an app in your target language to take some trivia quizzes. Do a web search for ""[your target language] trivia quiz"". There should be several options. If you aren't finding any dedicated quiz sites, look for media outlets or magazines in your target language. Most should have some kind of quiz."
"Climate change","Write what you think about climate change. Do you think it is something that will affect the present generation living on the earth? What are possible solutions to prevent it? What do your friends and family think about climate change?"
"Technical manuals","Do a web search for dishwasher or microwave manuals in your target language. Take the time to read through the manual from the beginning (skipping any pages of legalese language that usually are located at the beginning). Would you be able to operate this machine after reading the manual? BONUS: look at your own electronic appliances and see how many new words you now know."
"Letters to the editor","Read an article in a prominent newspaper or magazine written in your target language. Write a letter to the editor of the newspaper in response. State what you feel the article got right. If anything could have been improved, include suggestions for how they could have covered the topic more clearly. BONUS: Send this off!"
"Read an ebook","Take the time to pick an electronic book to start reading. Find something that interests you. Start reading! Try not to look up too many words in a dictionary."
"Natural resources","Research the natural resources / wealth of the country where your target language is spoken. Are there any national parks? Are there major mining operations? Find out as much as you can in the time available. BONUS: Write up a summary of what you learnt, or teach it to someone else."
"Founding documents","Read the constitution or any other founding / core documents used by the country where your target language is spoken. Read authentic contextual materials (start with Wikipedia) in your target language to understand why these texts are as they are. BONUS: Translate these documents into the language of your mother-tongue. Compare with any translations that already exist."
"Ghost story","Make up a ghost story. Either say this out loud, or write it down. BONUS: record this story and post it on YouTube, Soundcloud or your blog."
"Monster story","Make up a story involving a monster that the hero has to overcome. Either say this out loud, or write it down. BONUS: record this story and post it on YouTube, Soundcloud or your blog."
"Science Fiction","Make up a story that could be characterised as 'science fiction'. Either say this out loud, or write it down. BONUS: record this story and post it on YouTube, Soundcloud or your blog."
"Translate Wikipedia","Visit this page (http://bit.ly/wikitranslate) to learn how to register to translate Wikipedia pages. Follow the steps, then open wikipedia in your target language. Pick a page that hasn't been translated into English yet. Spend the rest of the time allocated to translate from your target language to English."
"Your reasons","Write for the alloted time about why you're studying this language. Why did you choose this particular language? How do you think you'll benefit from being able to speak / understand it? BONUS: Post this to Lang-8 and/or your blog."
"Subtitle a MOOC","Visit Amara's site (https://amara.org/) and get an account. Once you're registered, click through to the 'Community' section, pick a course provider and get translating / making subtitles!"
"Translate a TED Talk","Visit this site (https://www.ted.com/participate/translate) and register to translate / subtitle TED talks from and into your target language. Spend the rest of the time working on a specific video."
"Subtitled videos","Spend half the time watching a video in your target language, one that has subtitles in English. For the second half of the time period, watch the same clip again, but with subtitles turned off. Compare your understanding. What do you know now that you didn't before?"
"Verbal sentences","Write a series of sentences, each one using a different pronoun and verb so that you cover all the verb conjugation possibilities. (For example, I ran to school, you dove in the pool, he wore a shirt and so on). Once you're done with the past tense, do it all again with the present tense. BONUS: Post these sentences to Lang-8.com and get corrections."
