title,subtitle
"Write 300-500 words","Describe earth and human society to a visiting alien. BONUS: Post it to Lang-8 or your blog for feedback and/or corrections."
"Write 300-500 words","Write an essay with the title ""things only a local would know."" BONUS: Post it to Lang-8 or your blog for feedback and/or corrections."
"Write 300-500 words","Describe life in the town where you live from the perspective of a dog. BONUS: Post it to Lang-8 or your blog for feedback and/or corrections."
"Write 300-500 words","Describe life in the town where you live from the perspective of a cat. BONUS: Post it to Lang-8 or your blog for feedback and/or corrections."
"Write 300-500 words","Describe life in the town where you live from the perspective of a spider. BONUS: Post it to Lang-8 or your blog for feedback and/or corrections."
"Write 300-500 words","Write an essay that begins, ""If I were the president of my country..."" BONUS: Post it to Lang-8 or your blog for feedback and/or corrections."
"Write 300-500 words","Write an essay that begins, ""If I could travel through time..."" BONUS: Post it to Lang-8 or your blog for feedback and/or corrections."
"Write 300-500 words","Write a story that happened to you from your childhood. BONUS: Post it to Lang-8 or your blog for feedback and/or corrections."
"Write 300-500 words","Write an essay about why you are studying this particular language."
"Write 300-500 words","Write an essay with the title ""The Best Day of My Life."" BONUS: Post it to Lang-8 or your blog for feedback and/or corrections."
"Write 300-500 words","Write an essay with the title ""The Worst Day of My Life."" BONUS: Post it to Lang-8 or your blog for feedback and/or corrections."
"Read up on difficult grammar","Take some time to read up on a grammar point that you know you find difficult but always put off really taking the time to understand. Try to get to the point where you understand what's going on / how it works. BONUS: Once you understand, try teaching it to someone else. This will cement your understanding."
"Summarise a short film or documentary","Recall the contents of a short film or documentary you watched recently. Ideally you'll have watched it in your target language. Write a summary of that film or documentary, starting with the big ideas and slowly adding in the more intricate points. End by analysing the content, and/or expressing your opinion. Try to write at least 300-400 words."
"Write a book review","Write a short review in your target language. First summarise the content of the book, then state what you thought about it. Finally, explain how it fits in the context of other things you've read or heard. Try to write at least 300-400 words."
"Write some fiction","Start writing a short story in your target language. Don't worry about the quality for now. Just focus on telling a story as best you can, using the full extent of your language. Try to write at least 300-400 words."
"Desert Island Scenario","You're stuck on a desert island. Write a description of how you'd deal with this situation. Describe how you'd feel. Write at least 300 words."
"Broken Down Car Scenario","You are driving in a remote area during heavy winter and your car breaks down. You don't know which way to go to find help, but if you stay out in the cold you probably won't survive. Write a description of how you'd deal with this situation. Describe how you'd feel. Write at least 300 words."
"Give Back","Write a post online (on Facebook, Tumblr or your blog) explaining something that you struggled to learn recently. Share the lessons of how you managed to deal with this and surmount your difficulties."
"Open Source Software Translation","Do a search online for ""[your language] volunteer translation opportunities"" and you will probably find some people looking for volunteer help translating materials. Some open-source software projects will have specific tools to help you contribute."
"Write some comprehension questions","Take 30 minutes to read a medium-sized article on a topic you're interested in. Take the final half hour to write 10-15 comprehension questions based on the content of the article in your target language. BONUS: Post them on your blog or on Facebook along with the original article for others to use."
"Write a guide to a grammar feature","Write a short guide to a particular feature of grammar in your target language. Feel free to write it in your mother-tongue. BONUS: Post this grammar guide on your blog or even on Facebook or Tumblr."
"Write a letter to your past self","Imagine you could write a short note to your past self, to the person you were a few years ago (or more). What would you say? Write a note to this past self. Write at least 300 words."
"Write a letter to your future self","Imagine you could write a short note to your future self, to the person you you will become in a few years (or more). What would you say? Write a note to this future self. Write at least 300 words."
"Do a Foreigncy exercise (if available)","Foreigncy (foreigncy.us) is a website with exercises and selections of media articles (and associated short video clips) on topics currently in the news. Check if their selections are available for your language. If so, take 30 minutes to do all the exercises for one of their free sets. Once you're finished, write a summary of what you read and watched."
"Watch an episode of a series","Find a series / show that you're interested in watching. Watch the episode. If there is time left over, make a note of any new words you learned, practice them in sentence form and perhaps also write a short summary."
"Watch a film","You probably won't be able to finish the film in an hour, but watch 45 minutes approx. For the final 15 minutes, write a summary and analysis of what you watched."
"Learn a song by heart","Pick a song in your target language. Look up the lyrics. Learn the song by heart."
"Learn a poem by heart","Pick a poem in your target language. Read it through so you understand it properly. Learn it by heart. BONUS: Recite the poem on YouTube or Soundcloud."
"Act out a scene from a play","Find a friend or several friends. Act out a scene from a play in your target language. You can find scripts of television dramas as well as theatrical plays online."
"Write a TV show episode","Write a short script for a television show episode. Take a few minutes at the beginning to outline the storyline, then write the dialogue and scene directions in your target language."
"Take a formal language assessment","These are useful for locating your weaknesses. You may have to register ahead of time for this, or perhaps your teacher offers this as a service. There are a variety of different options for the official body that certifies you, but usually it won't matter too much which one you pick."
"Do an informal language assessment","Ask your language teacher to test you according to the ACTFL or CEFR assessment guidelines. Figure out where your weak spots are. The test will take about an hour to complete."
"Write a novel","Start writing a novel in your target language. Each time you want to practice your written language, work on this novel. It doesn't need to be long or too thought-out. Just keep writing."
"Summarise some book reviews","Go on Goodreads or some equivalent site and read some reviews of a well-known book by an author who writes in the language you're studying. Read 10-15 reviews. Summarise the main points of criticism and praise that come up in the reviews. BONUS: Post this summary to Facebook or your blog."
"Summarise some news articles","Skim 5-10 articles in the media all about the same topic from different news outlets. (Tip: Google News collates articles about the same topic together). Write about how they compare. Make a list of any new words you learnt while reading."
"Learn a new skill","Use YouTube or its equivalent to learn a new skill. Perhaps something practical like paper-folding or weaving or drawing. Make sure the instructional videos are in your target language."
"Tell someone your life story","Tell someone the story of your life from its beginning until the present moment. Go into detail."
"Write 300-500 words","Write about the best study methods for your language according to your experience. Make sure to go into detail."
"Write 300-500 words","Write about what you consider to be the most important invention of the past 50 years (and why). Give details of how it has affected your own life."
"Write 300-500 words","Write the story of your life. Give details. Don't hold back."
"Write 300-500 words","Write about the most important person or influence in your life. Give details."
