title,subtitle
"Ask someone for directions when walking around","If you're living in a place where your language of study is spoken, stop someone on the street and ask them how to get to a particular place. It doesn't matter if you already know how to get there, or can figure out with Google Maps. The point is to have a conversation with a stranger."
"Prepare 3 things you can say to a taxi driver next time you're taking a cab","Think of three topics that you can discuss with a taxi driver next time you have to take a journey with a taxi. Think of what words would come up in conversation about those three topics. Think what kinds of questions (s)he might ask in response."
"Study using Bliubliu","Bliubliu is a great site for getting some quick reading practice. (If you don't already have an account, take the 5 minutes to get set up). Pick a topic and let Bliubliu give you short texts. Click the words you know so it knows what level you're at."
"Write a short poem","Write a short poem of a few lines. It can be about anything. Just get writing. Don't spend too much time thinking about this one. The point is to write and use your language."
"Study using Readlang","Readlang is a service that allows you to read longer texts, look up words and test yourself on the new words you learnt while reading. (If you don't already have an account, take the 5 minutes to get set up). Pick a text (either an article you found online, or use the service's own library to suggest a text)."
"Tell a story","Talk for 5 minutes without stopping. The challenge is to keep going, to keep making variations on what you're saying, to keep using connector words and phrases. Tell a story about something that happened to you, or maybe explain something that happened years ago. Keep talking."
"Shadow an audio-transcript recording","Find a site where you can listen to audio recordings alongside transcripts. (News sites are probably your best bet for finding these, and some even have special sections for learners of those languages). Shadow the audio out loud, simultaneously alongside the transcript. Try to keep up with the recording and mimic their intonation."
"Learn about a well-known figure","Research the biography of a well-known figure from the culture or history of the country/people who speak your target language. Use original-language materials. Get the outline of their life story. Start with local-language wikipedia."
"Zero out your Anki","If you don't know what Anki is, start here: https://alexvermeer.com/anki-essentials/. If you're using it already, take these 5 minutes to make progress zeroing out your Anki words for review today."
"Review your language-learning notebook","If you don't have a physical notebook, get one. Write down words you want to know in your target language, words you didn't understand while watching TV and so on. Review the things you've written down during the past week. Add any new words to Anki."
"Play a round or two of pictionary / charades using your target language","This requires multiple speakers of your target language, but if you have a group around you, get someone to mime a topic, name of a film or book and try guessing what it is using only your target language. Time yourself."
"Write a paragraph of text (no repetition edition)","Write a paragraph of text without using the same word twice. This is very hard to do in practice, even using your mother-tongue. Try not to think too much, though, and keep writing."
"Write a paragraph of text (last-letter edition)","Write a paragraph of text in which the last letter of the previous word determines the first letter of the next word. This is harder than it sounds. Try not to think too much, though, and keep writing."
"Read something written over 100 years ago","Find something written in your target language that was written over 100 years ago. Notice how the language is different from the kinds of things you read online. Notice any similarities. Enjoy this mental time-travel experience!"
"Read something written over 1000 years ago","If your language is old enough, find something written in your target language that was written over 1000 years ago. Notice how the language is different from the kinds of things you read online. Notice any similarities. Enjoy this mental time-travel experience!"
"Talk to fellow language learner","Find a friend studying the same language as you, someone at a similar competency level. Have a conversation with them."
"Take a photo and write a caption","Write a caption using your target language. Try to really flex your language muscles. Don't settle for a brief or purely descriptive caption."
"Send a birthday wish","Go on Facebook and look at list of your friends' birthdays. Send birthday wishes to your friend using your target language."
"Explain how to get somewhere","Open up Google Maps (http://maps.google.com). Pick two places on a map and get the page to show you directions between them. Say the directions out loud in your target language, as if you were explaining how to get to somewhere to a taxi driver or a friend who called you up and needed directions."
"Do some video description","Open up a video in Arabic on YouTube. Turn off the sound or mute your computer/phone. Start talking out loud, describing what is happening as images continue to change in the video. Imagine you are describing it to someone who can't see, or who isn't watching the video with you."
"Describe a Pizza Order","Imagine you're calling up a pizza delivery company and the staff only speak Arabic. Role play (with yourself, if need be, but this is even better in pairs) the scenario: describe what pizza you want, say what toppings it will have, and perhaps add in a special request or check whether they have desserts as well."
"Translate a Restaurant Menu","Search the web for online restaurant menus in Arabic. (If you can't find any, use the Arabic sub-site of https://ifood.jo/ for suggestions). Go through the menu and translate all the different foods. BONUS: Write down your translations of the menu into English, then close the website and try to translate the text back into Arabic."
"Take a dictation","Open up a video in Arabic on YouTube. Depending on your level / confidence, adjust the speed of the video to something comfortable enough so that you can take dictation. You have two options: 1) take notes that are detailed enough that you can explain the contents to someone else or 2) take a word-for-word dictation."
"Explain what gluten-free means","Using your target language, either in writing or spoken form, explain what ""gluten-free"" means in terms of food. There is unlikely to be a pre-cut / pre-existing term for this in your language, so you'll have to get creative."
"Journal to yourself","Write a journal entry (on paper or digitally) to yourself about what you got done during the past 24 hours (what worked, what didn't)."
"Read Out Loud","Pick a text that you have to hand (or go online). Take the 5 minutes to read out loud from the text, using your best pronunciation and intonation."
"Describe a pomegranate","Imagine you didn't know what the word for pomegranate was in your target language. Try explaining what this object is without using the actual word."
DictionaryBot,"Find a passage of text that you've read recently, or that you find easy to read. Go through the text and, as you stop by each word, define the term using your target language. You probably won't get very far into the text by the time expires, but make sure not to use any English or anything that isn't your target language to explain the definitions of each word."
"Describing making a salad","Describe all the steps you need to carry out to make a salad. Don't skimp on the description. Instead of just 'add all the ingredients into a boil', think of all the sub-steps like how you decide what to make, what utensils you choose to prepare the various ingredients, how you make sure you have enough in the bowl and so on. BONUS: Record a video as you do this and post it online to YouTube."
"Describing making a cup of tea","Describe all the steps you need to carry out to make a cup of tea. Don't skimp on the description. Instead of just 'boil water', think of all the sub-steps like choosing how to boil the water, choosing a kettle / pot, pouring the water, making sure it doesn't overflow and so on. BONUS: Record a video as you do this and post it online to YouTube."
"List word opposites","Write a list of 20-30 random words that occur to you on a piece of paper. Then write their opposites alongside. Some words won't have opposites, but you can get creative. The opposite of 'elephant' could be a mouse or a worm or a fish or whatever you think!"
"Count backwards","Start at 100 and (in your target language) start counting backwards, skipping three numbers each time. Thus: 100, 97, 94, 91, 82 and so on. Try to keep this going at a good clip."
"Tell a joke","Think of a joke that you'd like to tell. Take about a minute to think of the overall structure / contours of the joke, then just start talking. When you are speaking, try to engage your imaginary audience with your storytelling. BONUS: Record the joke and post it to SoundCloud or YouTube. BONUS2: Tell this joke in real life to a friend (or a stranger!)."
"Create a dialogue","Write a dialogue about any topic that comes to mind. Use the informal style of your language for this, even though it is written down. Write for as long as the timer is running. BONUS: Post the text of your dialogue online for others to use."
"Creating stories from pictures","Find a magazine or advertisement leaflet or some other such material. You could even go online to the website of IKEA (http://www.ikea.com). As you start looking through the pictures, start talking about the people and the things you see. Early on, start labelling the items, but then you should also eventually start imagining scenarios about the lives of the people in the pictures. Or if there is nobody in the picture, think about why they are absent. Say it all out loud."
"Sentence Extensions","Either on paper or out loud, start with a simple sentence (i.e. ""I am x"" or ""I did y""). Then repeat that sentence with a slight expansion. Maybe add an adverb or an adjective. Then keep repeating as long as the timer is still running, each time adding a new feature or clause to the sentence. Towards the end, you can start adding in conditional particles (i.e. ""if"") and other more exciting features."
