title,subtitle
"Summarise the last book you read","Do this in writing or out loud. Describe the plot. Explain whether you liked the book or not. Explain why. BONUS: Record your summary/review and post it to YouTube. Or if you wrote it down, post it to Lang-8."
"Translate a text","Take 20 minutes to translate something you read recently. A partial translation is fine. Post your translation somewhere online with a link to the original source text when the 10 minutes are up. BONUS: Consider having a dedicated blog or tumblr where you can post your translations as you do them. This way you'll have a log of your study progress."
"Record a conversation with a friend","Talk about anything you'd like, but don't use anything other than your target language. Once the time is up, post the conversation online to Youtube or Soundcloud. BONUS: Consider doing this more regularly and you'll have your own podcast."
"Review your language-learning log","(If you haven't already set up a language-learning log, take the time to set that up.) Read over the past few weeks of your language-learning. Assess where more focus is needed. Think about what activities you could do to reach that goal. Write down your conclusions."
"Introduce the city where you live","Write a short passage introducing the city where you live to a visitor from the country where your target language is spoken. BONUS: Post this to lang-8, and/or record the passage and post that audio recording to Soundcloud."
"Translate the lyrics to a favourite song","Search for the full lyrics of a song originally written in your target language. Translate the song's lyrics into English (or as much of it as is possible in 20 minutes). BONUS: Post these lyrics and the translation online."
"Practice some recently-learned words","Write some sentences using words that you learned only recently. Post these practice sentences to Lang-8 to make sure that you're using the words in the right way / context."
"Brainstorm a topic","Brainstorm two or three dozen words in English related to a random topic you pick. Don't take more than 2 or 3 minutes for this task. Then for the rest of the time, try to translate the words into your target language. Note which words you don't know, and after the time is up, look them up in a dictionary."
"Go for a short walk","Walk around the block or walk around the area where you're studying/based. As you walk, have an inner monologue in which you describe everything you see around you. Keep talking to yourself; don't use English. When you get back, make a note of the words you were unable to recall."
"Watch a news report","Search YouTube for a news report or short film about any topic that interests you. Make sure it is in your target language. Watch the video."
"Research a topic that interests you","Use only sources in your target language. Read a variety of sources. Start to figure out the outlines of that topic."
"Summarise something you learnt recently","Pick something you learnt or researched recently. Summarise the important points about that topic or issue. Summarise the main sources you used to come to these conclusions. BONUS: Post your summary to Lang-8 or your blog for feedback."
"Tell a friend about something you learnt recently","Pick something you learnt or researched recently. Summarise the important points about that topic or issue. Summarise the main sources you used to come to these conclusions. BONUS: Record it and post your conversation to YouTube or Soundcloud for feedback."
"Look at a frequency list","Frequency vocabulary lists are lists of words organised by the frequency which they are generally used. Search online for ""[your language] frequency vocabulary list"" and look to see if there are any of the most frequent words that you don't know. Make a note of the words that you struggle to understand."
"Think about conversation topics","Visit iteslj.org/questions/ and pick a topic. Look at the questions. Imagine you had to answer the questions in your target language. What vocabulary would you need to know to be able to answer those questions? Make a note of these missing words."
"Search for a job","Browse job-search sites using your target language. Search for careers or jobs that interest you. Read some of descriptions and requirements of the jobs on offer."
"Teach something","Think of something you know, but a friend doesn't know. Take twenty minutes to teach that topic or skill to your friend, using only your target language."
"Teach something online","Think of something you know. Record a video to YouTube in which you teach that topic or skill, using only your target language. Don't think about this too much. Take a minute or two to sketch out a rough structure and then just get talking."
"Write 100 words","Write about what you did during the past 12 months."
"Write 100 words","Write about what you want to do during the coming 12 months."
"Write 100 words","Write about what you consider to be the qualities possessed by a good leader."
"Write 100 words","Describe earth and human society to a visiting alien."
"Write 100 words","Write a bullet point list of why you're studying your target language (using that target language)."
"Read up on difficult grammar","Take some time to read up on a grammar point that you know you find difficult but always put off really taking the time to understand. Try to get to the point where you understand what's going on / how it works. BONUS: Once you understand, try teaching it to someone else. This will cement your understanding."
"Summarise a short film or documentary","Recall the contents of a short film or documentary you watched recently. Ideally you'll have watched it in your target language. Write a summary of that film or documentary, starting with the big ideas and slowly adding in the more intricate points. End by analysing the content, and/or expressing your opinion."
"Write a book review","Write a short review in your target language. First summarise the content of the book, then state what you thought about it. Finally, explain how it fits in the context of other things you've read or heard."
"Write some fiction","Start writing a short story in your target language. Don't worry about the quality for now. Just focus on telling a story as best you can, using the full extent of your language."
"Desert Island Scenario","You're stuck on a desert island. Write or speak out loud (ideally to someone else) a description of how you'd deal with this situation. Describe how you'd feel."
"Broken Down Car Scenario","You are driving in a remote area during heavy winter and your car breaks down. You don't know which way to go to find help, but if you stay out in the cold you probably won't survive. Write or speak out loud (ideally to someone else) a description of how you'd deal with this situation. Describe how you'd feel."
"Give Back","Write a short post online (on Facebook, Tumblr or your blog) explaining something that you struggled to learn recently. Share the lessons of how you managed to deal with this and surmount your difficulties."
"Open Source Software Translation","Do a search online for ""[your language] volunteer translation opportunities"" and you will probably find some people looking for volunteer help translating materials. Some open-source software projects will have specific tools to help you contribute."
"Write some comprehension questions","Use an article you recently read as the basis for this exercise. Write 5-10 comprehension questions based on the content of the article in your target language. BONUS: Post them on your blog or on Facebook along with the original article for others to use."
"Write a guide to a grammar feature","Write a short guide to a particular feature of grammar in your target language. Feel free to write it in your mother-tongue. BONUS: Post this grammar guide on your blog or even on Facebook or Tumblr."
"Write a letter to your past self","Imagine you could write a short note to your past self, to the person you were a few years ago (or more). What would you say? Write a note to this past self."
"Write a letter to your future self","Imagine you could write a short note to your future self, to the person you you will become in a few years (or more). What would you say? Write a note to this future self."
"Write a recipe","Write a recipe in your target language for a meal you cook often. List the ingredients first and then the steps you need to take to prepare the food."
"Take a dictation","Open up a video in Arabic on YouTube. Depending on your level / confidence, adjust the speed of the video to something comfortable enough so that you can take dictation. You have two options: 1) take notes that are detailed enough that you can explain the contents to someone else or 2) take a word-for-word dictation."
"Do some video description","Open up a video in Arabic on YouTube. Turn off the sound or mute your computer/phone. Start talking out loud, describing what is happening as images continue to change in the video. Imagine you are describing it to someone who can't see, or who isn't watching the video with you."
DictionaryBot,"Find a passage of text that you've read recently, or that you find easy to read. Go through the text and, as you stop by each word, define the term using your target language. You probably won't get very far into the text by the time expires, but make sure not to use any English or anything that isn't your target language to explain the definitions of each word."
"Make a new city plan","Your city or the place where you live probably has some problems it needs fixing. Take this time to outline and then write a city plan (in your target language) that could be taken and used to fix the problems. Begin each paragraph by stating the specific problem you want to solve, and then end with the solution. BONUS: Post this on lang-8 (http://www.lang-8.com/) and get corrections!."
"Creating stories from pictures","Find a magazine or advertisement leaflet or some other such material. You could even go online to the website of IKEA (http://www.ikea.com). As you start looking through the pictures, start talking about the people and the things you see. Early on, start labelling the items, but then you should also eventually start imagining scenarios about the lives of the people in the pictures. Or if there is nobody in the picture, think about why they are absent. Say it all out loud."
