title,subtitle
"Record a conversation with a friend","Talk about anything you'd like, but don't use anything other than your target language. Once the time is up, post the conversation online to Youtube or Soundcloud. BONUS: Consider doing this more regularly and you'll have your own podcast."
"Review your language-learning log","(If you haven't already set up a language-learning log, take the time to set that up.) Read over the past few weeks of your language-learning. Assess where more focus is needed. Think about what activities you could do to reach that goal. Write down your conclusions."
"Introduce the city where you live","Write a short passage introducing the city where you live to a visitor from the country where your target language is spoken. BONUS: Post this to lang-8, and/or record the passage and post that audio recording to Soundcloud."
"Do a short workout","Search on YouTube for a short workout video that uses your target language. Follow along and do the workout! Searching ‘yoga' or ‘7-minute workout' (translated into your language) is usually an easy way to find a video."
"Translate the lyrics to a favourite song","Search for the full lyrics of a song originally written in your target language. Translate the song's lyrics into English (or as much of it as is possible in 10 minutes). BONUS: Post these lyrics and the translation online."
"Recite a poem","Record yourself reciting a poem out loud. Post the recording to Soundcloud. Review your pronunciation, noting where you could improve."
"Write a news summary using formal language","Most languages have some kind of formal language used for media broadcasts. Try writing a summary of the day's news using this formal/elevated language."
"Practice some recently-learned words","Write some sentences using words that you learned only recently. Post these practice sentences to Lang-8 to make sure that you're using the words in the right way / context."
"Brainstorm a topic","Brainstorm two or three dozen words in English related to a random topic you pick. Don't take more than 2 or 3 minutes for this task. Then for the rest of the time, try to translate the words into your target language. Note which words you don't know, and after the time is up, look them up in a dictionary."
"Go for a short walk","Walk around the block or walk around the area where you're studying/based. As you walk, have an inner monologue in which you describe everything you see around you. Keep talking to yourself; don't use English. When you get back, make a note of the words you were unable to recall."
"Look up a recipe","Search for recipes using sites in your target language. Find one that you think would be tasty. Figure out what ingredients are needed. BONUS: Actually prepare / cook that recipe later in the day."
"Watch a news report","Search YouTube for a news report or short film about any topic that interests you. Make sure it is in your target language. Watch the video."
"Research a topic that interests you","Use only sources in your target language. Read a variety of sources. Start to figure out the outlines of that topic."
"Summarise something you learnt recently","Pick something you learnt or researched recently. Summarise the important points about that topic or issue. Summarise the main sources you used to come to these conclusions. BONUS: Post your summary to Lang-8 or your blog for feedback."
"Tell a friend about something you learnt recently","Pick something you learnt or researched recently. Summarise the important points about that topic or issue. Summarise the main sources you used to come to these conclusions. BONUS: Record it and post your conversation to YouTube or Soundcloud for feedback."
"Start a newsletter in your target language","Go to tinyletter.com and set up a free account. Invite some friends to subscribe. In the future when you have something to write, you can post it to your newsletter."
"Look at a frequency list","Frequency vocabulary lists are lists of words organised by the frequency which they are generally used. Search online for ""[your language] frequency vocabulary list"" and look to see if there are any of the most frequent words that you don't know. Make a note of the words that you struggle to understand."
"Take a test / participate in a poll","Go onto a media site published in the language you study. Most such sites have polls or quizzes on their home page. Read the question / poll and vote. Look at the results. Think about why the results came out the way they did."
"Think about conversation topics","Visit iteslj.org/questions/ and pick a topic. Look at the questions. Imagine you had to answer the questions in your target language. What vocabulary would you need to know to be able to answer those questions? Make a note of these missing words."
"Record a news report","Think of something that happened recently in the news. Record yourself describing the event as if you are a newscaster. Prepare for a few minutes beforehand and then record. BONUS: Post the recording to Soundcloud."
"Search for a job","Browse job-search sites using your target language. Search for careers or jobs that interest you. Read some of descriptions and requirements of the jobs on offer."
"Teach something","Think of something you know, but a friend doesn't know. Take ten minutes to teach that topic or skill to your friend, using only your target language."
"Teach something online","Think of something you know. Record a video to YouTube in which you teach that topic or skill, using only your target language. Don't think about this too much. Take a minute or two to sketch out a rough structure and then just get talking."
"Write 65 words","Write about what you did during the past 12 months."
"Write 65 words","Write about what you want to do during the coming 12 months."
"Write 65 words","Write about what you consider to be the qualities possessed by a good leader."
"Write 65 words","Describe earth and human society to a visiting alien."
"Write 65 words","Write a bullet point list of why you're studying your target language (using that target language)."
"Translate a Restaurant Menu","Search the web for online restaurant menus in Arabic. (If you can't find any, use the Arabic sub-site of https://ifood.jo/ for suggestions). Go through the menu and translate all the different foods. BONUS: Write down your translations of the menu into English, then close the website and try to translate the text back into Arabic."
"Take a dictation","Open up a video in Arabic on YouTube. Depending on your level / confidence, adjust the speed of the video to something comfortable enough so that you can take dictation. You have two options: 1) take notes that are detailed enough that you can explain the contents to someone else or 2) take a word-for-word dictation."
"Do some video description","Open up a video in Arabic on YouTube. Turn off the sound or mute your computer/phone. Start talking out loud, describing what is happening as images continue to change in the video. Imagine you are describing it to someone who can't see, or who isn't watching the video with you."
"Journal to yourself","Write a journal entry (on paper or digitally) to yourself about what you got done during the past 24 hours (what worked, what didn't)."
"Read Out Loud","Pick a text that you have to hand (or go online). Take the 10 minutes to read out loud from the text, using your best pronunciation and intonation."
DictionaryBot,"Find a passage of text that you've read recently, or that you find easy to read. Go through the text and, as you stop by each word, define the term using your target language. You probably won't get very far into the text by the time expires, but make sure not to use any English or anything that isn't your target language to explain the definitions of each word."
"Describing making a salad","Describe all the steps you need to carry out to make a salad. Don't skimp on the description. Instead of just 'add all the ingredients into a boil', think of all the sub-steps like how you decide what to make, what utensils you choose to prepare the various ingredients, how you make sure you have enough in the bowl and so on. BONUS: Record a video as you do this and post it online to YouTube."
"Describing making a cup of tea","Describe all the steps you need to carry out to make a cup of tea. Don't skimp on the description. Instead of just 'boil water', think of all the sub-steps like choosing how to boil the water, choosing a kettle / pot, pouring the water, making sure it doesn't overflow and so on. BONUS: Record a video as you do this and post it online to YouTube."
"List word opposites","Write a list of 20-30 random words that occur to you on a piece of paper. Then write their opposites alongside. Some words won't have opposites, but you can get creative. The opposite of 'elephant' could be a mouse or a worm or a fish or whatever you think!"
"Make a new city plan","Your city or the place where you live probably has some problems it needs fixing. Take this time to outline and then write a city plan (in your target language) that could be taken and used to fix the problems. Begin each paragraph by stating the specific problem you want to solve, and then end with the solution. BONUS: Post this on lang-8 (http://www.lang-8.com/) and get corrections!."
"Create a dialogue","Write a dialogue about any topic that comes to mind. Use the informal style of your language for this, even though it is written down. Write for as long as the timer is running. BONUS: Post the text of your dialogue online for others to use."
"Creating stories from pictures","Find a magazine or advertisement leaflet or some other such material. You could even go online to the website of IKEA (http://www.ikea.com). As you start looking through the pictures, start talking about the people and the things you see. Early on, start labelling the items, but then you should also eventually start imagining scenarios about the lives of the people in the pictures. Or if there is nobody in the picture, think about why they are absent. Say it all out loud."
